"Director","FirstName","ExampleMovie"
"Shohanor Rahman Shohan","Shohanor","The Speed: Do or Die"
"Shunji Iwai","Shunji","Fireworks, Should We See It from the Side or the Bottom?"
"Shûsuke Kaneko","Shûsuke","Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
"Sijie Dai","Sijie","Balzac and the Little Chinese Seamstress"
"Siu-Tung Ching","Siu-Tung","An Empress and the Warriors"
"Skylar Gordon","Skylar","Ontologica! or a Brief Explanation of Absolutely Everything that is Known about Absolutely Everything"
"Stéphane Berla","Stéphane","Jack and the Cuckoo-Clock Heart"
"Tamás Sas","Tamás","You or Me"
"Terry Gilliam","Terry","Fear and Loathing in Las Vegas"
"Terry Hughes","Terry","For Love or Money"
"Terry McDonough","Terry","An Adventure in Space and Time"
"Togan Gökbakar","Togan","Celal and Ceren"
"Tomás Gutiérrez Alea","Tomás","Strawberry and Chocolate"
"Tomonobu Itagaki","Tomonobu","Dead or Alive Xtreme Beach Volleyball"
"Vadim Perelman","Vadim","House of Sand and Fog"
"Vatroslav Mimica","Vatroslav","Monday or Tuesday"
"Ventura Pons","Ventura","To Die (Or Not)"
"Vitaliy Manskiy","Vitaliy","Motherland or Death"
"Vladimír Slavínský","Vladimír","Girl or Boy?"
"Vojko Anzeljc","Vojko","The Last Supper or How Two Madmen Made a Film"
"Xixi Gao","Xixi","For Love or Money"
"Yee Sing Cheng","Yee","To Suntan or Suicide"
"Zhara Moufid","Zhara","A Portrait of an Artist: The Making of 'Get Rich or Die Tryin'"
"Ziggy Zigowitz Jr.","Ziggy","Rockin' with Seka or... Seka's Cruise"
