Director,FirstName,Gender,ExampleMovie
Saratswadee Wongsomphet,Saratswadee,unknown,Yes or No: Come Back to Me
Sergey Bondarchuk,Sergey,male,War and Peace
Shohanor Rahman Shohan,Shohanor,unknown,The Speed: Do or Die
Shunji Iwai,Shunji,male,"Fireworks, Should We See It from the Side or the Bottom?"
Shûsuke Kaneko,Shûsuke,male,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
Sijie Dai,Sijie,male,Balzac and the Little Chinese Seamstress
Siu-Tung Ching,Siu-Tung,male,An Empress and the Warriors
Skylar Gordon,Skylar,male,Ontologica! or a Brief Explanation of Absolutely Everything that is Known about Absolutely Everything
Stéphane Berla,Stéphane,male,Jack and the Cuckoo-Clock Heart
Tamás Sas,Tamás,male,You or Me
Terry Gilliam,Terry,male,Fear and Loathing in Las Vegas
Terry Hughes,Terry,male,For Love or Money
Terry McDonough,Terry,male,An Adventure in Space and Time
Togan Gökbakar,Togan,male,Celal and Ceren
Tomás Gutiérrez Alea,Tomás,male,Strawberry and Chocolate
Tomonobu Itagaki,Tomonobu,male,Dead or Alive Xtreme Beach Volleyball
Vadim Perelman,Vadim,male,House of Sand and Fog
Vatroslav Mimica,Vatroslav,male,Monday or Tuesday
Ventura Pons,Ventura,male,To Die (Or Not)
Vitaliy Manskiy,Vitaliy,male,Motherland or Death
Vladimír Slavínský,Vladimír,male,Girl or Boy?
Vojko Anzeljc,Vojko,male,The Last Supper or How Two Madmen Made a Film
Xixi Gao,Xixi,unknown,For Love or Money
Yee Sing Cheng,Yee,male,To Suntan or Suicide
Zhara Moufid,Zhara,female,A Portrait of an Artist: The Making of 'Get Rich or Die Tryin'
Ziggy Zigowitz Jr.,Ziggy,unknown,Rockin' with Seka or... Seka's Cruise
